Time,Wind(knotsbft),Gust(knotsbft),Wind Direction(deg)
08/15 0:37:50,10.5,11.9,128
08/15 0:39:50,9.1,11.9,126
08/15 0:41:50,8,9.9,132
08/15 0:43:50,7,8.9,122
08/15 0:45:50,6.6,8,129
08/15 0:47:50,8.7,9.9,125
08/15 0:49:50,10.5,11.9,123
08/15 0:51:50,11.1,15,108
08/15 0:53:50,9.1,10.9,110
08/15 0:55:50,10.9,13.8,92
08/15 0:57:50,12.2,13.8,126
08/15 0:59:50,10.5,12.8,107
08/15 1:01:50,10.3,11.9,130
08/15 1:03:50,10.5,11.9,147
08/15 1:05:50,14.6,16.9,129
08/15 1:07:50,9.1,10.9,130
08/15 1:09:50,12.4,16.9,121
08/15 1:11:50,12.1,13.8,159
08/15 1:13:50,9.1,11.9,134
08/15 1:15:50,12.1,13.8,125
08/15 1:17:50,8.9,9.9,136
08/15 1:19:50,10.1,11.9,144
08/15 1:21:50,11.5,15.9,141
08/15 1:23:50,9.3,10.9,144
08/15 1:25:50,9.3,10.9,133
08/15 1:27:50,11.5,15,125
08/15 1:29:50,9.1,10.9,125
08/15 1:31:50,8,9.9,132
08/15 1:33:50,7.8,9.9,144
08/15 1:35:50,6.6,8,121
08/15 1:37:50,7.8,8.9,113
08/15 1:39:50,5.4,7,120
08/15 1:41:50,6.2,7,112
08/15 1:43:50,6.2,7,121
08/15 1:45:50,6.6,8,103
08/15 1:47:50,4.5,5.1,105
08/15 1:49:50,5.1,6,120
08/15 1:51:50,4.7,6,131
08/15 1:53:50,5.6,8,147
08/15 1:55:50,3.9,5.1,147
08/15 1:57:50,3.3,3.9,128
08/15 1:59:50,2.1,2.9,133
08/15 2:01:49,4.3,7,150
08/15 2:03:49,2.9,3.9,136
08/15 2:05:49,1.9,1.9,141
08/15 2:07:49,3.1,3.9,143
08/15 2:09:49,1.7,1.9,144
08/15 2:11:49,0,0,144
08/15 2:13:49,2.1,2.9,180
08/15 2:15:49,1.9,1.9,197
08/15 2:17:49,1.4,1.9,197
08/15 2:19:49,1.7,1.9,197
08/15 2:21:49,3.3,3.9,163
08/15 2:23:49,3.7,3.9,127
08/15 2:25:49,5.4,7,121
08/15 2:27:49,2.5,2.9,133
08/15 2:29:49,3.1,3.9,121
08/15 2:31:49,3.5,3.9,122
08/15 2:33:49,3.5,5.1,120
08/15 2:35:49,4.7,6,122
08/15 2:37:49,4.1,5.1,130
08/15 2:39:49,5.1,7,120
